message,label
"Congratulations! You've won a free ticket to Bahamas! Click here to claim your prize.",spam
"Hey, are we still meeting at the coffee shop tomorrow?",not spam
"Urgent! Your account has been suspended. Please click the link to reactivate.",spam
"Don't forget to pick up groceries on your way home.",not spam
"Limited-time offer! Buy one, get one free on all items. Shop now!",spam
"Hi Mom, just wanted to let you know I arrived safely.",not spam
"Update your payment details to continue enjoying our services.",spam
"Let's catch up soon. It's been too long!",not spam
"Your loan application has been approved. Contact us for more details.",spam
"Happy Birthday! Hope you have a fantastic day!",not spam
"Exclusive offer! You have been selected to win a $500 gift card. Act now!",spam
"Don't forget about your dentist appointment next Tuesday.",not spam
"Win a brand new car! Enter the contest for free by clicking here.",spam
"Can you send me the recipe for that amazing cake you made?",not spam
"Alert! Unusual activity detected on your bank account. Verify now.",spam
"I'm free for lunch tomorrow if you're around.",not spam
"Your package has been delayed. Click to track your order.",spam
"Let's go for a walk in the park this weekend.",not spam
"Congratulations, you have been pre-approved for a loan! Apply today.",spam
"Looking forward to our movie night!",not spam
"You've been selected for a special VIP offer. Claim it today!",spam
"Can you help me with my homework later?",not spam
"Your subscription is about to expire. Renew now to avoid interruption.",spam
"Grandma says hi and hopes you're doing well.",not spam
"Claim your free trial now! Limited time only.",spam
"Are you coming to the office party on Friday?",not spam
"Attention! Your warranty is about to expire. Renew now.",spam
"Let me know when you're free for a call.",not spam
"Get rich quick! Start earning from home with no experience needed.",spam
"Just checking in to see how you're doing.",not spam
"Congratulations! You've been selected to test our new product.",spam
"Remember to water the plants while I'm away.",not spam
"Urgent! Pay your outstanding balance to avoid penalties.",spam
"Can't wait to catch up this weekend!",not spam
"Earn $100 a day from home. Sign up now!",spam
"Let's grab dinner sometime soon.",not spam
"Verify your email now to secure your account.",spam
"Did you finish the book I recommended?",not spam
"Attention! Your car insurance is about to expire. Act now!",spam
"Thank you for the lovely gift. I really appreciate it.",not spam
"Win an all-expenses-paid vacation! Click here to enter.",spam
"See you at the meeting tomorrow at 10 AM.",not spam
"Your credit score has changed. Check it now for free.",spam
"Hope you're feeling better today.",not spam
"Urgent! Immediate action required for your account.",spam
"I'll be late to the dinner party, save me a seat!",not spam
"Special promotion: Get 50% off your next purchase. Shop now!",spam
"Don't worry, everything will work out just fine.",not spam
"Get instant access to the best investment secrets. Sign up!",spam
"Can you send me the meeting notes?",not spam
"Your mobile number has won a lottery prize! Claim now.",spam
"Miss you! Let's catch up soon.",not spam
"Unlock exclusive rewards by completing this survey today!",spam
"Let's schedule a call to discuss the project updates.",not spam
"Congratulations! You are the lucky winner of a brand new iPhone.",spam
"Please review the attached document before our meeting.",not spam
"Limited seats available! Register now for the free webinar.",spam
"Can you pick up the kids from school this afternoon?",not spam
"Your account is eligible for a special cashback offer. Click here!",spam
"Thanks for your help with the presentation yesterday.",not spam
"Act now! Your insurance policy is about to lapse.",spam
"Looking forward to seeing you at the family reunion.",not spam
"Exclusive deal: Save 70% on your next purchase. Shop today!",spam
"Don't forget to submit your assignment by Friday.",not spam
"Alert: Suspicious login attempt detected. Secure your account.",spam
"Happy anniversary! Wishing you many more years of happiness.",not spam
"Get approved for a credit card with zero annual fees. Apply now!",spam
"Let me know if you need any help with your move.",not spam
"Unlock your full potential with this limited-time course.",spam
"I'll call you later tonight.",not spam
"Winner! You've been selected for a prize. Claim here.",spam
"Can you send me the address for the event?",not spam
"Earn money fast with this simple trick!",spam
"I sent you the files via email.",not spam
"Exclusive investment opportunity. Limited spots available.",spam
"Let's go for a run tomorrow morning.",not spam
"Update your security settings to avoid being locked out.",spam
"Can we reschedule our meeting to tomorrow?",not spam
"Your PayPal account has been restricted. Verify now.",spam
"Hope your exam went well!",not spam
"Act now! Double your income in 30 days.",spam
"Thanks for the reminder about the appointment.",not spam
"Get your free Bitcoin wallet now!",spam
"I'm at the grocery store, do you need anything?",not spam
"Double your earnings with this simple step!",spam
"Let's plan a weekend trip soon.",not spam
"You have a pending refund. Click to receive.",spam
"Dinner was great, thanks for having me over.",not spam
"Exclusive investment opportunity. Limited spots available.",spam
"I sent you the files via email.",not spam
"Earn money fast with this simple trick!",spam
"I'll call you later tonight.",not spam
"Your PayPal account has been restricted. Verify now.",spam
"Hope your exam went well!",not spam
"Unlock your full potential with this limited-time course.",spam
"Thanks for the reminder about the appointment.",not spam
"Winner! You've been selected for a prize. Claim here.",spam
"Let's go for a run tomorrow morning.",not spam
"Get your free Bitcoin wallet now!",spam
"Hope your exam went well!",not spam
"Act now! Double your income in 30 days.",spam
"I sent you the files via email.",not spam
"Update your security settings to avoid being locked out.",spam
"Can we reschedule our meeting to tomorrow?",not spam
"Earn money fast with this simple trick!",spam
"Can you send me the address for the event?",not spam
"Unlock your full potential with this limited-time course.",spam
"I'm at the grocery store, do you need anything?",not spam
"Exclusive investment opportunity. Limited spots available.",spam
"Dinner was great, thanks for having me over.",not spam
"You have a pending refund. Click to receive.",spam
"Let's plan a weekend trip soon.",not spam
"Get your free Bitcoin wallet now!",spam
"Thanks for the reminder about the appointment.",not spam
"Act now! Double your income in 30 days.",spam
"Let's go for a run tomorrow morning.",not spam
"Update your security settings to avoid being locked out.",spam
"I'll call you later tonight.",not spam
"Get your free trial of our premium subscription today!",spam
"Meeting has been moved to 4 PM. Let everyone know.",not spam
"Earn $5000 a week from the comfort of your home!",spam
"Just confirming our dinner reservation for tomorrow.",not spam
"Congratulations! You're our lucky visitor. Claim your reward now.",spam
"Don't forget to return the library books.",not spam
"Act now! Clearance sale ending soon.",spam
"Let’s go over the project details in our next call.",not spam
"Complete your profile to win exciting rewards!",spam
"Can you help me move my stuff this weekend?",not spam
"You’re missing out on amazing deals. Click here!",spam
"Thanks again for your hospitality last night.",not spam
"Claim your cash bonus now! No credit card needed.",spam
"Would you like to go hiking on Sunday?",not spam
"Your tax refund is ready. Submit details here.",spam
"I baked some cookies for tomorrow's event!",not spam
"Exclusive bonus for new members only. Sign up today!",spam
"Sorry, I missed your call. I’ll call you back.",not spam
"Protect your account with enhanced security. Click here to update.",spam
"Are you still coming to the book club meeting?",not spam
"Flash sale! Everything must go. Limited time only!",spam
"The plumber is scheduled for 2 PM tomorrow.",not spam
"Revolutionary new weight loss product. Order now!",spam
"Don't forget to feed the cat before you leave.",not spam
"Verify your details to continue using your email account.",spam
"Let’s practice our presentation one more time.",not spam
"Final warning! Your account will be deactivated.",spam
"I’ll send you the meeting agenda in the morning.",not spam
"Boost your followers in minutes. Try our free tool!",spam
"Let’s meet at the usual café around 5?",not spam
"Limited-time crypto investment offer! Huge returns guaranteed.",spam
"Looking forward to our weekend getaway!",not spam
"Your account may be at risk. Take action now!",spam
"I can help you review your application draft.",not spam
"Special gift just for you. Click now to open!",spam
"Please find the invoice attached for last month’s payment.",not spam
"Breakthrough skincare formula that reverses aging. Try now!",spam
"Are you bringing snacks for movie night?",not spam
"Massive discount on top brands. Shop before midnight!",spam
"Did you see the article I shared yesterday?",not spam
"Reminder: Payment due in 3 days. Avoid late fees.",spam
"Let’s plan the surprise party this week!",not spam
"Exclusive VIP invitation inside. Don’t miss this opportunity!",spam
"Can you proofread my essay before I submit?",not spam
"Guaranteed approval for new credit line. Apply today!",spam
"I dropped off the package at your doorstep.",not spam
"Your device is infected. Scan now for protection.",spam
"Are you still up for game night?",not spam
"Win amazing gadgets by completing this short survey.",spam
"Thanks for helping me move this weekend.",not spam
"Unlock premium content by subscribing today!",spam
"Let me know your thoughts on the proposal draft.",not spam
"Hot singles in your area are waiting. Join now!",spam
"I submitted the assignment just in time.",not spam
"Time-limited offer: Free iPad with every purchase!",spam
"Want to grab coffee before class?",not spam
"Confirm your shipping address to avoid delays.",spam
"Can you send me your updated resume?",not spam
"Low interest loans for everyone. Apply online!",spam
"Your performance review is scheduled for next week.",not spam
"Try this miracle cure everyone is talking about!",spam
"We should catch up during the holidays.",not spam
"Congratulations! Your number has been selected. Act fast!",spam
"I'll pick you up at 7 PM sharp.",not spam
"You won’t believe this one weird trick to get rich!",spam
"Don’t forget to log attendance today.",not spam
"Earn passive income while you sleep. Join now!",spam
"Thanks for the lovely card!",not spam
"Get 100,000 followers instantly. No password required!",spam
"Let’s review the quarterly report tomorrow.",not spam
"You’ve qualified for a zero-interest loan!",spam
"Bring your ID for the interview tomorrow.",not spam
"Buy now and get one free! Offer ends soon!",spam
"How was your trip to the hills?",not spam
"Click to install the latest antivirus protection.",spam
"Please RSVP for the alumni meetup.",not spam
"Alert! Your system is out of date. Update immediately.",spam
"Good luck on your test tomorrow!",not spam
"Win big with our online casino! Join today.",spam
"Hey! Just checking if you’re free this evening.",not spam
"Get exclusive deals sent straight to your inbox.",spam
"Did you book the cab for tomorrow’s flight?",not spam
"Access your free credit score now. No strings attached.",spam
"Let me know if you need help setting up the projector.",not spam
"Your parcel is stuck at customs. Pay now to release it.",spam
"I found that article you were looking for!",not spam
"Join the millionaire mentorship program. Limited seats!",spam
"Thanks again for your feedback on my portfolio.",not spam
"Double your Instagram likes in 24 hours. Click here.",spam
"I’ll bring snacks for the group project meeting.",not spam
"Confirm your billing information to avoid suspension.",spam
"We should have a movie night this weekend!",not spam
"Congratulations! You’ve unlocked a hidden bonus level!",spam
"Please sign the document before Friday.",not spam
